nct_id,num_drugs,has_immuno,has_chemo,has_targeted,num_genes,has_biomarker,phase,sponsor_category
NCT04293094,1,0,0,0,0,0,,Other
NCT04548960,1,0,0,0,0,0,,Other
NCT03170960,4,1,0,0,0,0,,Industry
NCT04437160,2,0,0,0,0,0,,Other
NCT04178460,1,0,0,0,0,0,,Other
NCT05020860,8,1,1,1,0,0,,Other
NCT03356860,4,0,1,0,0,0,,Other
NCT03362060,2,1,0,0,0,0,,Academic
NCT02681562,1,0,0,1,0,0,,Other
NCT02708680,3,1,0,0,0,0,,Other
NCT06880029,1,0,0,0,0,0,,Academic
NCT07007780,1,0,0,0,0,0,,Academic
NCT03101280,2,1,0,0,0,0,,Industry
NCT02435680,3,0,1,0,0,0,,Industry
NCT01426880,2,0,1,0,0,0,,Other
NCT05763992,1,0,0,0,0,0,,Other
NCT06369831,1,0,0,0,0,0,,Other
NCT02659631,2,0,0,0,0,0,,Industry
NCT05809895,8,1,1,0,0,0,,Industry
NCT00789581,4,0,0,0,0,0,,Other
NCT03580395,3,0,1,0,0,0,,Academic
NCT06682195,1,0,0,0,0,0,,Academic
NCT05088395,2,0,0,0,0,0,,Other
NCT03709446,1,0,0,0,0,0,,Other
NCT02890069,6,0,0,0,0,0,,Industry
NCT04274946,1,0,0,0,0,0,,Academic
NCT03970967,1,0,0,0,0,0,,Other
NCT04331067,7,1,1,0,0,0,,Academic
NCT03752723,3,0,0,0,0,0,,Other
NCT03544723,1,0,0,0,0,0,,Other
NCT05303038,1,0,0,0,0,0,,Academic
NCT02595138,1,0,0,0,0,0,,Other
NCT02041338,3,0,1,0,0,0,,Other
NCT05582538,3,0,0,0,0,0,,Academic
NCT03634150,1,0,0,0,0,0,,Other
NCT03775850,2,1,0,0,0,0,,Other
NCT05520723,3,0,0,0,0,0,,Other
NCT07046923,1,0,0,0,0,0,,Other
NCT02419495,17,1,1,1,0,0,,Other
NCT06405295,1,0,0,0,0,0,,Academic
NCT02788981,3,0,0,0,0,0,,Academic
NCT04131881,0,0,0,0,0,0,,Academic
NCT05541367,0,0,0,0,0,0,,Academic
NCT06027268,4,1,1,0,0,0,,Academic
NCT06274268,1,0,0,0,0,0,,Academic
NCT06347068,3,0,0,0,0,0,,Other
NCT05154201,1,0,0,0,0,0,,Other
NCT04585750,2,1,0,0,0,0,,Other
NCT04291950,1,0,0,0,0,0,,Academic
NCT05973864,3,0,0,0,0,0,,Other
NCT03667612,0,0,0,0,0,0,,Other
NCT04502680,1,0,0,0,0,0,,Academic
NCT01208480,1,0,0,0,0,0,,Academic
NCT04758780,1,0,0,0,0,0,,Other
NCT01928680,1,0,0,0,0,0,,Other
NCT06268327,2,0,0,0,0,0,,Academic
NCT01805076,3,0,0,0,0,0,,Other
NCT06774027,3,0,0,0,0,0,,Academic
NCT00777673,1,0,0,0,0,0,,Academic
NCT02154776,3,0,0,0,0,0,,Industry
NCT02593227,3,0,0,0,0,0,,Other
NCT00532727,2,0,1,0,0,0,,Academic
NCT03017573,2,0,0,0,0,0,,Other
NCT01740427,4,0,0,0,0,0,,Industry
NCT03838367,5,0,0,0,0,0,,Other
NCT06212076,1,0,0,0,0,0,,Other
NCT04802876,2,0,0,0,0,0,,Other
NCT02689427,6,0,1,0,0,0,,Other
NCT03205176,2,0,0,1,0,0,,Industry
NCT03010176,2,1,0,0,0,0,,Other
NCT05288127,1,0,0,0,0,0,,Academic
NCT05086692,2,0,0,0,0,0,,Other
NCT05843292,3,0,0,0,0,0,,Academic
NCT06229392,1,0,0,0,0,0,,Academic
NCT06140576,3,0,0,0,0,0,,Academic
NCT03394027,1,0,0,0,0,0,,Academic
NCT01891227,2,0,0,0,0,0,,Other
NCT04085276,4,0,0,0,0,0,,Other
NCT03150576,2,0,0,1,0,0,,Academic
NCT02027376,2,0,1,0,0,0,,Other
NCT05390476,2,0,0,0,0,0,,Other
NCT06724263,1,0,0,0,0,0,,Other
NCT06402435,1,0,0,0,0,0,,Academic
NCT02750358,2,0,0,0,0,0,,Other
NCT05300958,1,0,0,0,0,0,,Academic
NCT04481763,2,0,0,0,0,0,,Academic
